"","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE.AUTO","NSE.BANK","NSE.ENERGY","NSE.FIN","NSE.FMCG","NSE.IT","NSE.MED","NSE.MET","NSE.PHARMA","FROM others"
"Demand_Shocks","69.89","21.81"," 0.95"," 0.72"," 0.67"," 1.16"," 0.64"," 0.83"," 0.87"," 0.82"," 0.88"," 0.76","30.11"
"Supply_Shocks","21.54","68.89"," 3.65"," 0.53"," 0.67"," 0.77"," 0.62"," 0.61"," 0.55"," 0.70"," 0.69"," 0.78","31.11"
"Risk_Shocks"," 1.09"," 4.26","86.29"," 0.92"," 1.05"," 0.97"," 1.03"," 1.07"," 0.72"," 0.79"," 1.05"," 0.76","13.71"
"NSE.AUTO"," 0.73"," 0.54"," 0.33","28.09","12.16","10.07","12.55"," 6.74"," 3.89"," 8.21","11.17"," 5.53","71.91"
"NSE.BANK"," 0.86"," 0.57"," 0.32","10.83","25.42"," 9.68","23.50"," 5.36"," 3.40"," 6.45"," 9.61"," 3.99","74.58"
"NSE.ENERGY"," 1.15"," 0.71"," 0.41","10.62","11.32","30.25","11.46"," 5.43"," 3.69"," 7.24","12.40"," 5.30","69.75"
"NSE.FIN"," 0.85"," 0.57"," 0.30","10.97","23.09"," 9.67","24.93"," 5.91"," 3.72"," 6.41"," 9.41"," 4.17","75.07"
"NSE.FMCG"," 0.99"," 0.66"," 0.46"," 9.35"," 8.15"," 7.37"," 9.21","41.07"," 4.46"," 5.60"," 6.36"," 6.31","58.93"
"NSE.IT"," 1.20"," 0.67"," 0.45"," 6.17"," 5.64"," 5.39"," 6.34"," 5.10","52.89"," 4.70"," 5.87"," 5.56","47.11"
"NSE.MED"," 0.80"," 0.57"," 0.43","10.45"," 9.24"," 8.74"," 9.31"," 4.99"," 3.63","36.43"," 9.90"," 5.52","63.57"
"NSE.MET"," 1.12"," 0.78"," 0.43","11.60","11.09","12.33","11.07"," 4.67"," 3.89"," 8.06","29.58"," 5.36","70.42"
"NSE.PHARMA"," 1.19"," 1.13"," 0.40"," 8.06"," 6.48"," 7.36"," 6.94"," 6.83"," 5.07"," 6.34"," 7.50","42.71","57.29"
"TO others"," 31.52"," 32.28","  8.13"," 80.22"," 89.56"," 73.53"," 92.67"," 47.54"," 33.90"," 55.31"," 74.85"," 44.06","663.58"
"Inc. own","101.41","101.17"," 94.43","108.31","114.98","103.77","117.59"," 88.61"," 86.79"," 91.74","104.44"," 86.77","TCI"
"NET","  1.41","  1.17"," -5.57","  8.31"," 14.98","  3.77"," 17.59","-11.39","-13.21"," -8.26","  4.44","-13.23"," 55.30"
"NPDC"," 3.00"," 4.00","11.00"," 4.00"," 2.00"," 4.00"," 1.00"," 8.00","10.00"," 5.00"," 5.00"," 9.00",""
